"","df$Narrative","df$VessSz","df$VessSpd"
"11","VS RESULTS: WW ""Aurora"" (WCNE) rept; injuries consistent with vessel strike. Some already healed. Damaged dorsal fin, potentially deep laceration to peduncle, and minor lacerations + one deep laceration from right mid-fluke blade to tip. Resighted on 9/29 & 11/04 with indications of healing, but animal appears emaciated and no resights. Also entangled, but shed gear.","VSzUnk","VSpdUnk"
"12","New, healing lacerations across dorsal fin. Seen pre-injury on 4/16/02.  Whale somewhat thin, possibly due to time of year. Healthy resights until entanglement in 2005 (disentangled/gear shed). Successfully reproductive, healthy resights","VSzUnk","VSpdUnk"
"13","VS RESULTS: VAMRC pilot rept; Necropsy by VMSM showed probably ship strike injury (blunt trauma to lower jaw, right mandible shattered, left mandible broken and associated muscle hemorrhaging documented) Obvious evidence of entanglement (both fresh and healed) noted around flukes and peduncle.","VSzUnk","VSpdUnk"
"14","PCCS Disentanglement website documented Regulus gear-free, but noted new, superficial, healing lacerations just below right dorsal. Added to LW spreadsheet 11/2/2006","VSzUnk","VSpdUnk"
"15","An adult humpback was reported to NOS Charleston floating approximately 18nm NE of Charleston, SC. 1/10 - Wildlife Trust and USCG responded and reported the whale to only be 7 miles offshore but not able to tow it in.  The whale landed the following day (1/11) on an island just south of Cape Romaine in SC.  Necropsy by SCDNR & NOS Charleston revealed healed scars consistent with entanglement and rib fractures and muscle hemorrhaging consistent with blunt force trauma consistent with ship collisions.","VSzUnk","VSpdUnk"
"16","Rep by Beachgoer. Virginia Aquarium performed a necropsy on 3/18/06.  Blunt trauma to the head crushing the cranium and fracturing the left mandible.  Left flipper almost completely severed, laceration to right flipper, mouth, and ventral surface; Determination if the injuries were pre or post mortem is pending on histology sample analysis.  Histology samples were sent to David Rotstein, University of Tennessee. Jooke Robbins, CCS, identified this individual as a Gulf of Maine (Nova Scotia) whale--first seen in 2004 and so born no later than 2003.  It was to receive a name at this year's whale naming event.","VSzUnk","VSpdUnk"
"17","VS RESULTS: A recreational fisherman reported the sighting to the USCG.  The reporter described the carcass to be ~35 ft in length, long white flippers and severely decomposed. Carcass landed 10/18/06 at Cape Henelop, DE, MERR and Riverhead responded. Morphometrics performed on 10/18, necropsy performed on 10/19. 24"" laceration penetrated rostrum with accompanying skull fractures; evidence of chronic injury to due prior constricting wrap on pectoral (see EN results) though no gear present. COD=VS + SI due to EN.","VSzSmall","VSpdUnk"
"18","Carcass is described as approx 40 ft, peeling skin and decomposed. Carcass landed on 14th May, and partial necropsy performed on 15th. Mandible appeared to be shattered. Hemorrhaging observed on left side between the pectoral flipper and the fluke, and shattered cranial bones consistent with blunt force trauma from vessel strike.","VSzSmall","VSpdUnk"
"19","30ft male. First seen alive on 5/13/07 just offshore of Cape Hedge Beach acting normally. Reported dead on same beach at 19:00 on 5/14/07.  Carcass secured overnight.  Necropsy performed on 5/15.  Gross necropsy findings indicate blunt force trauma to chest, neck, & head  - significant bruising, but no broken bones. ","VSzUnk","VSpdUnk"
"20","32.5 ft, 2 yr old, female. Fresh carcass rept by PCCS. Rept bruising around left lower flank, blood coming out of mouth.  There were possible line impressions on both sides of the chin.  A cross section of these impressions were collected as well as a skin sample. Carcass was towed to Plymouth, and a necropsy was performed at the Bourne land fill on 6/26. Last sighted alive on 6/21/07. It was found to have a large bruised area from the ventral side of the head of its right humerus and upper chest, down to its upper belly, consistent with blunt force trauma from a vessel strike.  No bones were broken. The whole right rack of baleen and the anterior 2/3 of the left rack were removed and preserved in one piece, each.   The posterior 1/3 of the left rack was taken by the Cape Cod Stranding Network to be used for education.  The skeleton was donated to the Seacoast Science Center, Rye, NH and is suspended from the ceiling on display.","VSzUnk","VSpdUnk"
"21","WCNE rept; Humpback whale was reported 9/13/07 with deep peduncle lacerations, potentially penetrating bone. Prior to this, the animal had been sighted injury free in early August.  Resights indicate healing.","VSzUnk","VSpdUnk"
"22","Dependent calf. WCNE Naturalists aboard a whale watch observed a humpback whale calf with fresh wounds on the right flank. Superficial lacerations from skeg and propeller.  Animal was observed wound free on 6/8/08.","VSzUnk","VSpdUnk"
"23","WCNE witnessed. Legal investigation conducted. Fishing vessel (<65ft) continually moving slowly (<10kts) back and forth through an aggregation of 15-25 bubble feeding humpbacks all within a 1/4 nm radius. Contact made with 2 of 3 humpbacks. Audible ""thunk"" heard by witnesses. Contact likely made to head area since animals had just come up through a feeding cloud. Animals moved away from the vessel, then immediately resumed feeding. 2 of 3 of the animals ID'd, both seen multiple times since with no reported injuries. ID of 3rd unknown, so unable to get sighting history. Various whale watch/researchers in the area for several hours, pre and post incident. No injuries reported.","VSzSmall","VSpdUnk"
"24","WCNE witnessed. Legal investigation conducted. Fishing vessel (<65ft) continually moving slowly (<10kts) back and forth through an aggregation of 15-25 bubble feeding humpbacks all within a 1/4 nm radius. Contact made with 2 of 3 humpbacks. Audible ""thunk"" heard by witnesses. Contact likely made to head area since animals had just come up through a feeding cloud. Animals moved away from the vessel, then immediately resumed feeding. 2 of 3 of the animals ID'd, both seen multiple times since with no reported injuries. ID of 3rd unknown, so unable to get sighting history. Various whale watch/researchers in the area for several hours, pre and post incident. No injuries reported.","VSzSmall","VSpdUnk"
"25","WCNE staff observed Underline with minor lacerations and skeg mark on back just anterior to dorsal fin.  Animal was observed a few days earlier without any prop scars. Healthy resights","VSzUnk","VSpdUnk"
"26","Fresh dead with heavy shark predation. Due to weather conditions MDDNR necropsied on 11/5. Cranial fractures and hemorrhaging consistent with blunt force trauma.","VSzUnk","VSpdUnk"
"27","Unknown whale came up on transom of 19' stationary private vessel.  Small piece of tissue left on engine collected and turned; over for DNA testing. Whale identified as male HUWH","VSzSmall","VSpdUnk"
"28","Dependent Calf has open fresh wound on tail stock before insertion, potential to affect bone or arteries.; resights indicate healthy. TRT indicates 1st sighting 6/17/09 by WCNE, but WDC had earlier sighting on 6/10/09. **reproductively successful. Calved in 2017","VSzUnk","VSpdUnk"
"29","3 large, fresh lacerations to distal half of right fluke. Injuries healed and resights healthy","VSzUnk","VSpdUnk"
"30","110' Whale watch catamaran @ 5 kts struck and passed over whale after watching it for a few minutes","VSzUnk","VSpdSlow"
"31","Skull fractures, associated hemorrhage and edema, greenstick fractures of mandible - consistent with blunt force trauma.","VSzUnk","VSpdUnk"
"32","carcass ashore, Necropsied on 6/11. Extensive hemorrhage & edema on right dorsal lateral surface; no skeletal damage but that is likely due to flexibility of bones of in juveniles. Blunt force trauma.","VSzUnk","VSpdUnk"
"33","1.5 mi off Assateague Island, sighted by kayaker, USCG confirmed with overflight, carcass landed in Ocean City on 7/8, necropsy conducted on 7/9. Extensive hemorrhage & edema to left side; no fractures - likely flexibility of juvenile bones - consistent with blunt force trauma","VSzSmall","VSpdUnk"
"34","WDCS rept; animal sighted with fresh, superficial propeller lacerations & skeg mark near left blowhole; healthy resights until entanglement on 8/4/2012","VSzUnk","VSpdUnk"
"35","Seen swimming in Pamlico Sound 3/7, then stranded on 3/9 with prop marks on dorsal side, also entanglement scars visible; shark predation & scoliosis evident on 3/11; euthanized. 8 deep lacerations across back; robust with anemia & pale musculature indicates blood loss due to lacerations; PCCS found no match; Proximate COD=VS, ultimate COD=euthanasia","VSzUnk","VSpdUnk"
"36","Possibly cut out of gear and set adrift. hemorrhaging, but no fractures - possibly due to being a young animal so bones are flexible; K.Durham feels hemorrhaging was too localized for SS, so poss from EN. Also evidence of constricting gear at insertions of pecs & flukes but injuries healing; PCCS found no match. **Final - COD = SS; hemorrhaging along left jaw = blunt trauma from vessel; EN injuries healing *No follow-up on gear supposedly removed from carcass - agh ","VSzUnk","VSpdUnk"
"37","hemorrhaging along left side w/ 5 broken vertebral processes; necropsy report subpar, but COD due to blunt force trauma consistent with VS is most parsimonious","VSzUnk","VSpdUnk"
"38","VS RESULTS: Capt John & Sons rept. Missing flukes, swimming using flippers only. Last seen `100 miles offshore by USCG.  VS laceration appears minor and healing; no gear present, but missing flukes attributed to chronic entanglement (see EN record);  no resights; active & mobile, but also young so likely to succumb to injuries","VSzUnk","VSpdUnk"
"39","Sighted w/ fresh, minor prop wound; seen injury free 3 days prior (7/2) w/ small vessel in close proximity. Injury free 2 days prior (7/3)","VSzUnk","VSpdUnk"
"40","Dependent calf. Dolphin Fleet rept; Seen with entangled mother (see 30-Jul-11 event), 2 sets of fresh lacerations anterior to dorsal. Apparent healing in subsequent sightings. Hill & Knowlton classify as ""deep"": Hill=potentially into muscle tissue & Knowlton= >10cm","VSzUnk","VSpdUnk"
"41","Sighted with new, healing lacerations along left flank - potentially affecting muscle layer. Documented on 7/10/11 with no injury. Resighted in 2012 (entangled) w/ injuries healing","VSzUnk","VSpdUnk"
"42","VAQS responded to floating carcass & attached telemetry buoy; landed 4/5/13. Necropsied on 4/6/13 by VAQS & UNCW. Bruising along left ribs; both orbits shattered, left orbit w/ associated bruising - consistent with blunt force trauma.","VSzUnk","VSpdUnk"
"43","Dependent Calf sighted with new, healed laceration along left flank. No pre-injury sightings. Experts (WDC) agree VS as source, can't confirm if originally superficial or deep.","VSzUnk","VSpdUnk"
"44","Dependent calf. WW vessel Friendship IV, documented calf w/ new, healing laceration to peduncle, potentionally deep enough to penetrate bone. Sighted previously during the year with no injury. Resights indicate healing (AGH saw injury posted on FB, forwarded to GARFO on 7/15, but it was not in the 2013 data they sent in Aug 2014 so added record)","VSzUnk","VSpdUnk"
"45","Record added upon review of necropsy report for 9/13/13 event. 23' private vessel @ neutral or slow ahead w/ single outboard motor reported whale swam beneath his boat and surfaced near the stern, lifting it at least 8"" out of the water. No injuries or blood noted, but reporter was not specifically looking. VAQS believes wounds on 9/13/13 animal would not have been caused by this vessel.","VSzSmall","VSpdUnk"
"46","Moderately decomposed. 6 lacerations across lateral and dorsal surface; penetrating into axial muscle w/ evidence of hemorrhage; granulation of edges indicate lacerations likely happened within days of stranding; positive morbillivirus results","VSzUnk","VSpdUnk"
"47","Dependent Calf with shallow laceration across right back just forward of dorsal. Experts agree VS. Does not extend to right tailstock or over the back as would be expected with EN. Resighted healthy.","VSzUnk","VSpdUnk"
"48","Animal sighted with raw, shallow lacerations in front of its dorsal. Healthy resights.","VSzUnk","VSpdUnk"
"49","WW documented small rec boat harassing whale. Apparent contact between bow & the back/right flank of animal. <65ft & <10kts. No noticable injuries & animal exhibited normal behavior. OLE investigated but unable to contact boaters.","VSzSmall","VSpdUnk"
"50","Sighted with new, healing vessel lacerations of unknown depth across back. Animal already in compromised condition prior to this vessel strike injury: skin lesions & cyamids on dorsal fluke blades. Seen entangled on 9/3/14. Not a known GOM whale, but not matched to another stock (yet).","VSzUnk","VSpdUnk"
"51","Event added March 2016: Sighted with raw, shallow, healing wound across mid back. Experts (CCS & WDC) agree VS as source. Sighted pre-injury in July.","VSzUnk","VSpdUnk"
"52","Floating carcass landed on 4/14 & was necropsied by RFMRP. Extensive bruising and hemorrhaging at left gape & pectoral, throat, right & left lateral thorax. No skeletal damage found to axial skeleton, but did not fully examine cranium. Injuries consistent with blunt force trauma.","VSzUnk","VSpdUnk"
"53","Floating carcass landed on 4/22. Necropsied by RFMRP. Multifocal hemorrhage and edema in right lateral abdomen consistent with blunt force trauma.","VSzUnk","VSpdUnk"
"54","RFMRP necropsied. Extensive fracturing of cranial bones w/ associated bruising. Additional extensive bruising along dorsal & right lateral body. Injuries consistent with blunt force trauma.","VSzUnk","VSpdUnk"
"55","Fishing vessel struck whale (<65' @ >10kts). Self-reported. Did not see whale before or after impact. No damage to boat. WW documented animal with fresh, minor lacerations across back. Resights indicate healthy.","VSzSmall","VSpdFast"
"56","Vessel strike witnessed by WW vessel. 34ft @ 25-30kt through feeding whales. Audible contact. Boat immediately stopped moving & appeared to have engine damage. Animal trumpeted and dove for 10 min. Observed w/ fresh abrasions on dorsal fin & superficial lacerations on right peduncle. Animal resumed kick-feeding post-incident. OLE notified.","VSzSmall","VSpdUnk"
"57","Necropsied by RFMRP. Blunt force trauma to right side - extensive bruising around pectoral and skull - and healed entanglement scars in the mouth and on the flukes.","VSzUnk","VSpdUnk"
"58","Sighted w/ fresh lacerations across back in front of dorsal. Injuries did not appear to penetrate blubber layer.","VSzUnk","VSpdUnk"
"59","Deep laceration across back, penetrating into muscle, and impacting ability to dive. Sighted on 02Jan2016 with no injuries. No resights.","VSzUnk","VSpdUnk"
"60","Sighted with 2 parallel lacerations across distal end of right fluke blade. Seen the day prior injury free.","VSzUnk","VSpdUnk"
"61","Sighted with deep laceration to left fluke blade, near insertion. Left fluke blade necrotic. Seen 03Jan uninjured. Also sighted 15Jan, 20Jan, 06Feb, 21Feb, but did not present fluke so can't confirm when injury might have occurred.","VSzUnk","VSpdUnk"
"62","UME. Floating carcass landed on 26Apr. Necropsied by NEA on 27Apr. Bruising deep to the muscle and fascia posterior to right pectoral and along right mandible at base of skull - consistent with blunt force trauma.","VSzUnk","VSpdUnk"
"63","UME. Floating carcass. Towed ashore on 26Apr. Necropsied by RFMRP on 27Apr. Extensive bruising to ventral thoracic region with fractured ribs - consistent with blunt force trauma.","VSzUnk","VSpdUnk"
"64","UME. Navy vessel reported floating carcass. Landed on 17June. Necropsied. Hemorrhaging around neck & head, no associated fractures, organs displaced forward in body cavity. Full stomach. COD = blunt force trauma from vessel strike","VSzLarge","VSpdUnk"
"65","UME. Floating carcass. Landed on 25Jun. Necropsied by RFMRP. Extensive bruising to connective tissue and muscles of the left side, back, and right peduncle - consistent with blunt force trauma.","VSzUnk","VSpdUnk"
"66","Aerial shark spotter witnessed vessel strike. 35-40' @ ~25kts. Blood in water witnessed. Resights indicate wounds have healed.","VSzUnk","VSpdUnk"
"67","UME. Floating carcass. Landed on 28Jun. Necropsied on 29Jun. Evidence of blunt trauma along left head/side.","VSzUnk","VSpdUnk"
"68","Raw superficial lacerations on distal end of left dorsal fluke. Event added 15Feb2018 by agh based on data from jrobbins","VSzUnk","VSpdUnk"
"69","UME. 4 long, deep lacerations  to head and back that penetrated body cavity. Necropsied. Robust condition and full stomach. COD = sharp trauma (exsanguination & asphyxia).","VSzUnk","VSpdUnk"
"70","UME. Necropsied. Extensive skeletal fracturing with associated hemorrhaging consistent with blunt trauma. Histo supports VS as COD","VSzUnk","VSpdUnk"
"71","UME. 3 long, deep lacerations to back that penetrated body cavity. Necropsied. Robust condition and full stomach. COD = sharp trauma with associated hemorrhaging.","VSzUnk","VSpdUnk"
"72","Sighted with 2 deep lacerations fore and aft of dorsal fin. Seen ~2wk prior with no injuries. Event added 11Feb2019 - source J.Robbins/CCS","VSzUnk","VSpdUnk"
"73","UME. Floater. Necropsied on 05Apr2018. Robust condition with full stomach. Extensive hemorrhage and edema along back and side consistent with blunt trauma.","VSzUnk","VSpdUnk"
"74","UME. Level A & genetics samples collected. Partial necropsy conducted. Deep lacerations on ventral peduncle & side. Disarticulated left jaw & cervical vertebrae with associated hemorrhaging - consistent with blunt force trauma. Necropsy report suggests placement of lacerations indicates post-mortem. COD=VS is most parsimonious.","VSzUnk","VSpdUnk"
"75","UME. Necropsied. Blunt trauma - muscle contusions with associated cranial fractures.","VSzUnk","VSpdUnk"
"76","UME. Necropsied on 6-Oct-17. Blunt trauma - bruising on dorsal & left side. Histopathology results support COD=VS","VSzUnk","VSpdUnk"
"77","UME. Necropsied on 27-Dec. Blunt trauma - left & right sides marked by extensive edema & bruising.","VSzUnk","VSpdUnk"
"78","UME. Necropsied on 29Jan2018. Suspect VS. Large area of hemorrhage on dorsum, skeletal fractures consistent with blunt force trauma. Prey matter in stomach. Extensive shark bites. Had been seen 8 (FWC) & 9 (GDNR) days earlier w/ visual data supportive of good body condition & feeding.","VSzUnk","VSpdUnk"
"79","UME. Necropsied on 15Feb2018. Edema & hemorrhage at dorsal cervical area and along dorsal lateral sides aft to dorsal fin. No broken bones. Suspect VS. Blunt trauma.","VSzUnk","VSpdUnk"
"80","UME. Extensive soft tissue blunt trauma along sides and ventral musculature consistent with vessel strike. Robust body condition and full stomach indicates acute event.","VSzUnk","VSpdUnk"
"81","Evidence of hemorrhage and edema along dorsal surface consistent with blunt vessel trauma.","VSzUnk","VSpdUnk"
"82","Evidence of hemorrhage and edema along dorsal surface consistent with blunt vessel trauma.","VSzUnk","VSpdUnk"
"83","Evidence of hemorrhage and edema along dorsal, lateral, and ventral surfaces consistent with blunt vessel trauma.","VSzUnk","VSpdUnk"
"84","New, healed, superficial lacerations across back. Event added in Jan 2020 upon review of 01Sep18 entanglement footage.","VSzUnk","VSpdUnk"
"85","At least 11 deep lacerations starting at dorsal fin and continuing down dorsal ridge towards fluke. Ulcerated lesion on right pectoral with some evidence of healing.","VSzUnk","VSpdUnk"
"86","WW vessel self-reported striking whale. 130ft @ 28kts. No blood in water. Searched for an hour with help of other platforms. All whales sighted appeared to be ""normal"" and all ID'd animals subsequently sighted healthy.","VSzLarge","VSpdFast"
"87","Whale hit bow of WW zodiac as it dove. <65ft @ <10kts.","VSzSmall","VSpdUnk"
"88","Skeletal fractures with associated hemorrhaging - consistent with blunt force trauma. Fresh lacerations. Additional impressions possibly from a boat hull. Unable to discern if these were pre or post-mortem.","VSzUnk","VSpdUnk"
"89","THE CALF'S WOUND IS A LATERAL LACERATION THAT IS ABOUT 2/3 OF THE WAY DOWN THE BODY. IT HAS ONLY BEEN SEEN INFREQUENTLY, BECAUSE THAT PART OF THE ANIMAL TYPICALLY REMAINS UNDERWATER, EXCEPT WHEN THE ANIMAL STRONGLY ARCHES ITS BACK. THIS CUT APPEARS TO BE DEEPER, AND IS BELIEVED TO EXTEND INTO THE MUSCLE LAYER AND MAY BE BLEEDING. SERIOUS INJURY BECAUSE OF DEEP LACERATION.","VSzUnk","VSpdUnk"
"90","THE ADULT COW HAS A STRAIGHT LACERATION ON HER DORSAL SURFACE THAT IS ESTIMATED TO BE 2-3' LONG AND 6"" DEEP. THE CUT DOES NOT EXTEND INTO THE MUSCLE LAYER. A SECOND SUPERFICIAL CUT CAN BE SEEN JUST BEFORE THE DORSAL FIN. VETERINARIANS DO NOT BELIEVE THAT THIS ANIMAL IS IN ANY IMMEDIATE DANGER FROM THIS WOUND. NON-SERIOUS INJURY DUE TO SUPERFICIAL LACERATION.","VSzUnk","VSpdUnk"
"91","CARCASS WITH FRACTURED SKULL. UNKNOWN VESSEL SIZE AND SPEED.","VSzUnk","VSpdUnk"
"92","DRAGGER STRUCK WHALE IN THE FOG. SNAPPED STABILIZER ON BOAT. VESSEL SIZE AND SPEED UNKNOWN. FINAL STATUS UNKNOWN.","VSzUnk","VSpdUnk"
"93","RELATIVELY GOOD BODY CONDITION AND STOMACH CONTAINED PARTIALLY DIGESTED KRILL. UPPER LEFT JAW BROKEN IN SEVERAL PLACES. DEEP CLEAN CUT NEAR GAPE ON SAME SIDE. UNKNOWN SIZE AND SPEED OF VESSEL ASSUMED TO BE CAUSE OF DEATH.","VSzUnk","VSpdUnk"
"94","CARCASS WITH PROPELLER WOUNDS OBSERVED FLOATING.","VSzUnk","VSpdUnk"
"95","ANIMAL STRUCK JUST FORWARD OF THE DORSAL FIN. ONLY 20 FT OF THE ANIMAL REMAINED AFTER THE PROPELLER CUT THE HEAD, PECTORAL FINS AND THORACIC CAVITY AWAY. VESSEL SIZE AND SPEED UNKNOWN, BUT ASSUMED TO BE LARGER AND FASTER THAN WHALE GIVEN CARCASS CONDITION.","VSzLarge","VSpdFast"
"96","A 38' SAILBOAT PARTICIPATING IN A RACE WAS STRUCK BY A BREACHING WHALE. RIGGING AND MAST WAS DAMAGED AND SKIN WAS LEFT BEHIND. SIZE OF WHALE ESTIMATED AT 30 FT. VESSEL WAS TRAVELLING APPROXIMATELY 9 KTS","VSzSmall","VSpdSlow"
"97","LATER EXAM OF BONES FOUND NO DAMAGE TO SKULL BUT TRAUMA TO VERTEBRAE AND PERHAPS RIBS IN AREA BEHIND SKULL, BROKEN BACK; SIGNIFICANT PARASITE LOAD; FRACTURED BOD OF TWO VERTEBRAE.","VSzUnk","VSpdUnk"
"98","WHALE SURFACED 30 FEET IN FRONT OF 57.8 FT COMMERCIAL FISHING VESSEL MOVING AT 7.5 KTS. VESSEL LARGER THAN WHALE. WHALE SLAPPED TAIL AND APPARENTLY STRUCK BOW. WHALE DESCRIBED AS UNINJURED, SUPERFICIAL DAMAGE ON VESSEL ABOVE WATERLINE. WHALE RESURFACED AND DOVE WITH NO APPARENT INJURY. LARGE WHALE CRITERIA L6C APPLIED FOR NON-SERIOUS INJURY AS VESSEL WAS MOVING <10 KTS AND NO DISCERNABLE INJURY TO WHALE.","VSzLarge","VSpdSlow"
"99","DEEP LACERATION ACROSS BACK BETWEEN BLOWHOLE AND DORSAL FIN. LACERATION APPROXIMATELY 4 INCHES LONG AND 10 INCHES DEEP. MAINLY USING LEFT PECTORAL FLIPPER FOR MOBILITY, OCCASIONALLY FLUKES, NOT AT ALL WITH RIGHT PECTORAL FLIPPER. ASSUMPTION IS VESSEL STRIKE. DID NOT APPEAR TO BE TOO THIN, BUT IT WAS OBVIOUS THIS ANIMAL WAS UNABLE TO DIVE OR USE ITS RIGHT PECTORAL FLIPPER AND ONLY SOME MOVEMENT FROM TAIL FLUKES. HEALTH DECLINE DUE TO IMMOBILITY.","VSzUnk","VSpdUnk"
"100","ANIMAL FIRST SIGHTED ALIVE OFF ORANGE COUNTY OCTOBER 3RD WITH HEALING DORSAL PROPELLOR WOUND AND LIMITED MOBILITY. SIGHTED ALIVE AGAIN OFF OCEANSIDE OCT. 6 AND DEL MAR OCT. 7, 3/4 MILE OFFSHORE. MULTIPLE VERTEBRAL, RIB, SCAPULAR FRACTURES, AND HEMORRHAGE OBSERVED AT NECROPSY. DETAILS OF LACERATION / INJURY LACKING WHEN ANIMAL SEEN ALIVE.","VSzUnk","VSpdUnk"
"101","LIMITED NECROPSY REVEALED HEMORRHAGING ON THE LEFT LATERAL SIDE AT END OF RIBS. FOUR PROCESSES OF LUMBAR VERTEBRAE WERE BROKEN BENEATH HEMORRHAGING. GOOD BLUBBER THICKNESS AND BODY CONDITION. EXTENSIVE PARASITES IN GI TRACT. CAS-ACC-6993","VSzUnk","VSpdUnk"
"102","AN ARTICULATED TUG AND BARGE REPORTING STRIKING A HUMPBACK WHALE OF UNKNOWN SIZE IN THE COLUMBIA RIVER. THE ANIMAL WAS SIGHTED IMMEDIATELY AFTER THE COLLISION AND ROLLED OVER. COLUMBIA RIVER BAR PILOTS FLEW OVER THE AREA WITH THEIR HELICOPTER AND STATED THE WHALE WAS SWIMMING AROUND NORMALLY. NO DATA ON VESSEL SIZE AND SPEED. BASED ON OTHER ARTICULATED TUGBOAT / BARGE SIZES, IT IS ASSUMED THE VESSEL WAS MUCH LARGER THAN THE WHALE (VESSEL SIZE > 65 FT). THIS RECORD IS ASSIGNED AS L7A.","VSzLarge","VSpdUnk"
"103","WHALE WAS SIGHTED ON 3/4 BY COAST GUARD, THEN 3/5/2016 BY DIVER 9.3 NM WEST OF POINT LOMA. LINEAR SCARS ON LEADING EDGE OF FLUKES AND CAUDAL PEDUNCLE INDICATE THIS WHALE WAS ENTANGLED IN THE PAST, BUT WAS NOT LIKELY THE CAUSE OF DEATH. FRACTURED INTERVERTEBRAL DISK AND SCAPULA WITH ASSOCIATED HEMORRHAGE IN BLUBBER AND MUSCLE INDICATES TRAUMA, POSSIBLY ATTRIBUTED TO A VESSEL STRIKE.","VSzUnk","VSpdUnk"
"104","CAME INTO LOS ANGELES HARBOR ON THE BOW OF A LARGE SHIP. WORKING LOCATION AND LIMITED TIME FOR SAMPLING BEFORE ANIMAL WAS TOWED OUT OF THE HARBOR PREVENTED US FROM PREFORMING FULL NECROPY. SHIP TRACKER DATA SHOWS A REDUCTION IN SPEED AND A 360 DEGREE MANEUVER MIGHT INDICATE THE ANIMAL WAS STRUCK AT 34 DEG 26' 52.5"" N, 125 DEG 23' 01.0"" W.","VSzLarge","VSpdUnk"
"105","AN 87' USCG VESSEL STRUCK A 25-30' HUMPBACK WHALE ON ITS MIDSECTION WITH THE BOW WHILE TRAVELING AT 10-12 KNOTS. THE WHALE WAS OBSERVED 10 FEET IN FRONT OF THE CUTTER BEFORE THE COLLISION TOOK PLACE. NO APPARENT DAMAGE TO THE VESSEL AND THE ANIMAL WAS AT THE SURFACE OF THE WATER AFTER THE COLLISION. THE ANIMAL WAS OBSERVED FOR A PERIOD OF 10 MINUTES POST COLLISION, FOLLOWING THE COLLISION THE ANIMAL DOVE FOR 2 MINUTES AND THEN WAS OBSERVED AT THE SURFACE. FINAL OUTCOME UNKNOWN.","VSzLarge","VSpdUnk"
"106","9.7 METER MALE WITH EVIDENCE OF HEMORRHAGING AND EDEMA INTERNALLY. DORSAL AND LATERAL PROCESS FRACTURES TO CERVICAL VERTEBRAE C1-C3. NECROPSY DONE BY THE MARINE MAMMAL CENTER.","VSzUnk","VSpdUnk"
